Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Offset Print Operator,2021/ME/MESC/04866,Individuals at this job will provide all printing operation specially for offset printing. The individual will also carry out 3D printing which company offerings and get more customers and sales through print media.,Media & Entertainment,Level 4,450 Hours,390 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Printing,"•	Printing Supervisor NSQF Level 5
•	General Manager -Print at NSQF Level 7",General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",2021/ME/MESC/04866,https://www.nqr.gov.in/qualification/file/NSQF_Offset_Print_Operator.pdf,35
Project Manager (OOH) Media,2021/ME/MESC/04869,"A Project Manager in an OOH Media Company will be responsible for erection of media at selected / licensed site, in compliance of all statutory conditions and as per design & budget. This position manages multiple outdoor media projects as per the business requirement and follows / implements applicable regulatory guidelines.",Media & Entertainment,Level 5,540 Hours,480 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,OOH and Advertising,"•	Head Operations-OOH at NSQF level 6
•	Business Manager -OOH at NSQF Level 7
•	Director-Operations at Level 8",General Qualification,N.A.,"{""Theory"":""210"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",2021/ME/MESC/04869,https://www.nqr.gov.in/qualification/file/NSQF_Project_Manager-OOH.pdf,36
Still Photographer,2021/ME/MESC/04867,"A Still photographer, is an artist with the camera using a blend of technical skills and an artistic eye to take pictures, who creates film stills, still photographic images specifically intended for use in the marketing and publicity of feature films. Photographers can work as fine artists, wedding and event photographers, or sell their photos to commercial clients.",Media & Entertainment,Level 4,510 Hours,510 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Photography,"Videographer, Cinematographer, Director of Photography",General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",2021/ME/MESC/04867,https://www.nqr.gov.in/qualification/file/NSQF_Still_Photographer.pdf,37
Technical Artist – AR/VR,2021/ME/MESC/04872,"The individual in this job will act as an architecture and overlays AR-VR solution to deliver experience of their project vision to prospective users for analysis, learning and game development purpose. It articulates 3D content products for Virtual & Augmented Reality application with smart technology driven system (hardware) which brings realistic views to users. The Technical Artist also acts as bridge between the artists and programmers, ensuring the art content and features are easily integrated into the environment.",Media & Entertainment,Level 5,1140 Hours,990 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Game Development,"AR-VR Developer
Entrepreneur",Future Skills Qualification,N.A.,"{""Theory"":""345"",""Practical"":""585"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",2021/ME/MESC/04872,https://www.nqr.gov.in/qualification/file/NSQF_Technical_Artist_AR-VR.pdf,38
Automotive Maintenance Technician-Mechanical -PwD SHI,2022/PWD/SCPWD/05262,The individual performs maintenance of the mechanical parts (including hydraulic & pneumatic parts) of equipment and machinery.,Persons with Disability,Level 4,410 Hours,410 Hours,Version ,27 Jan 2022,25 Feb 2027,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),Plant and Equipment Maintenance,Maintenance Lead Technician Mechanical (Level 4),General Qualification,Automotive,"{""Theory"":""176"",""Practical"":""234"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2022/PWD/SCPWD/05262,https://nqr.gov.in/sites/default/files/NSQF%20-%20Automotive%20Maintenance%20Technician-Mechanical%20SHI.pdf,39
Plumbing Supervisor,2022/PLUM/WMPS/05462,"A Plumbing Supervisor is responsible for planning, scheduling, organising and directing work. The individual also identifies plumbing requirements and assigns tasks to the workforce. The person ensures that the work is being done in compliance with the industry standards.",Plumbing,Level 5,690 Hours,690 Hours,Version ,27 Jan 2022,10 Nov 2025,Water Management and Plumbing Skill Council (WMPSC),Water Management and Plumbing Skill Council (WMPSC).,Plumbing Systems Installation and Maintenance,"Plumbing Entrepreneur, Plumbing Site Engineer","General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""110"",""Practical"":""280"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""210""}",2022/PLUM/WMPS/05462,https://www.nqr.gov.in/qualification/file/Q-File_%20Plumbing%20Supervisor.pdf,40
Jal Mitra,2022/PLUM/WMPS/05464,"This unit deals in detail with the planning, construction and maintenance of simple water conservation
structures for village dwellings, farms and communities.",Plumbing,Level 4,480 Hours,480 Hours,Version ,27 Jan 2022,11 Oct 2025,Water Management and Plumbing Skill Council (WMPSC),Water Management and Plumbing Skill Council (WMPSC).,Plumbing Systems Installation and Maintenance.,"Plumbing Entrepreneur, Plumbing Supervisor",General Qualification,N.A.,"{""Theory"":""140"",""Practical"":""220"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",2022/PLUM/WMPS/05464,https://www.nqr.gov.in/qualification/file/Q-File_Jal%20Mitra%20%282.0%29_English.pdf,41
Water Pump Operator,2022/PLUM/WMPS/05465,"This unit is about installing pumps systems and related equipment for different plumbing applications in residential, agricultural and commercial setups.",Plumbing,Level 4,420 Hours,420 Hours,Version ,24 Feb 2022,21 Dec 2025,Water Management and Plumbing Skill Council (WMPSC),Water Management and Plumbing Skill Council (WMPSC).,Plumbing Systems Installation and Maintenance.,Motor Mechanic,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""50"",""Practical"":""220"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",2022/PLUM/WMPS/05465,https://www.nqr.gov.in/qualification/file/NSQF_PSC_Q0118%20%28v%202.0%29.pdf,42
ACCOUNT EXECUTIVE,2022/ME/MESC/05190,"The individuals in this job are required to understand advertising requirements from the client and coordinate with the creative teams within the agency to have them executed. The individual may also be required to liaise with external vendors for production of advertisements, in which case they would be required to negotiate an agreeable fee on behalf of the client. The individual is required to present final work products to clients and obtain their approval",Media & Entertainment,Level 4,450 Hours,390 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Account Executive,"Account Manager, Account Director",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",2022/ME/MESC/05190,https://www.nqr.gov.in/qualification/file/NSQF_Account_Executive.pdf,43
Animation Director,2022/ME/MESC/05193,"Individuals at this job need to support the director and guide efforts of the production team, to have a good understanding of all animation processes including art & design, pre-production, production like modelling/rigging, animation, sound design and postproduction.",Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Animation Director,Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""320"",""Practical"":""460"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",2022/ME/MESC/05193,https://www.nqr.gov.in/qualification/file/NSQF_Animation_Director.pdf,44
Animator,2022/ME/MESC/05192,"The individual to know the fundamentals of life drawing including human anatomy, emotions, actions and expressions also on graphics and animation",Media & Entertainment,Level 4,540 Hours,510 Hours,Version ,27 Jan 2022,25 Jan 2025,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Animator,"Senior Animator (NSQF Level 5)
Art Director (NSQF Level 5)",General Qualification,N.A.,"{""Theory"":""145"",""Practical"":""305"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",2022/ME/MESC/05192,https://www.nqr.gov.in/qualification/file/NSQF_Animator.pdf,45
Art Director (Animation & Gaming),2022/ME/MESC/05195,"The job needs to have a creative vision and style of the production also requires the individual to have overall understanding of design, colour theory and life drawing, he should be  able to develop original and creative ideas and align a new team",Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Art Director,Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""310"",""Practical"":""470"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",2022/ME/MESC/05195,https://www.nqr.gov.in/qualification/file/NSQF_Art%20Director%28Animation%20&%20Gaming%29.pdf,46
Art Director (Set Design),2022/ME/MESC/05194,Individuals in this job need to determine the visual appearance of the set. The art director designs all the key elements of the set and co-ordinates the construction/ execution of this creative vision,Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Art Director (Set Designer),Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""210"",""Practical"":""570"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",2022/ME/MESC/05194,https://www.nqr.gov.in/qualification/file/NSQF_Art%20Director%28Set%20Design%29.pdf,47
Assistant Cameraman,2022/ME/MESC/05196,Individuals at this job are responsible to mark focus lengths based on the required composition and focus and refocus the camera lenses during shoots. They are also responsible to set-up/dismantle camera equipment.,Media & Entertainment,Level 3,390 Hours,390 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Assistant Cameraman,Camera Operator,General Qualification,N.A.,"{""Theory"":""105"",""Practical"":""195"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",2022/ME/MESC/05196,https://www.nqr.gov.in/qualification/file/NSQF_Assistant_Cameraman.pdf,48
Camera Operator,2022/ME/MESC/05197,Individuals at this job need to operate the camera during shoots in accordance to instructions provided by the Director of  Photography (DoP). They also need to coordinate efforts of the camera crew during  shoots.,Media & Entertainment,Level 4,450 Hours,450 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Camera Operator,"Level-4 (Horizontal)
Still Photographer
Level-5 (Vertical)
Videographer / Cinematographer",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",2022/ME/MESC/05197,https://www.nqr.gov.in/qualification/file/NSQF_Camera_Operator.pdf,49
Character designer,2022/ME/MESC/05198,"The job holder needs to design the character pack including the look, expressions, poses, gestures, turnarounds, personality traits of characters for a production and include life drawing skills including an understanding of human anatomy, behaviour, facial expressions, emotions, actions.",Media & Entertainment,Level 4,420 Hours,360 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Character designer,"Level-4 (Horizontal), Modeler/Animator, Level-5 (Vertical), Quality Analyst / Sr. Animator",General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",2022/ME/MESC/05198,https://www.nqr.gov.in/qualification/file/NSQF_Character_Designer.pdf,50
Clean-up artist,2022/ME/MESC/05199,"An Individual need to have a good knowledge of colour theory, light and shadows, draw and apply colour effects, design colour keys consistent with the creative style of the production",Media & Entertainment,Level 3,300 Hours,300 Hours,Version ,27 Jan 2022,28 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Animation,Character Designer,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",2022/ME/MESC/05199,https://www.nqr.gov.in/qualification/file/NSQF_Clean-up_Artist.pdf,51
